,HITId,HITTypeId,Title,Description,Keywords,Reward,CreationTime,MaxAssignments,RequesterAnnotation,AssignmentDurationInSeconds,AutoApprovalDelayInSeconds,Expiration,NumberOfSimilarHITs,LifetimeInSeconds,AssignmentId,WorkerId,AssignmentStatus,AcceptTime,SubmitTime,AutoApprovalTime,ApprovalTime,RejectionTime,RequesterFeedback,WorkTimeInSeconds,LifetimeApprovalRate,Last30DaysApprovalRate,Last7DaysApprovalRate,Input.eventId,Input.summaryId,Input.qIdList,Input.summary_text,Input.statement_1,Input.statement_2,Input.statement_3,Input.statement_4,Input.statement_5,Input.statement_6,Input.statement_7,Input.statement_8,Input.statement_9,Input.statement_10,Input.statement_11,Input.statement_12,Input.statement_13,Input.statement_14,Input.statement_15,Input.statement_16,Answer.S10Answer,Answer.S11Answer,Answer.S12Answer,Answer.S13Answer,Answer.S14Answer,Answer.S15Answer,Answer.S16Answer,Answer.S1Answer,Answer.S2Answer,Answer.S3Answer,Answer.S4Answer,Answer.S5Answer,Answer.S6Answer,Answer.S7Answer,Answer.S8Answer,Answer.S9Answer,Answer.feedback,Approve,Reject
335,3RWSQDNYMDAPAGD3MCN70OFPZK0FFE,30M3L2ZU933JG596K1H7GJ2KLU36YQ,Are the facts in a text?,Answer whether 16 facts are contained in a given 70-word text.,"Reading Comprehension, Question Answering, Textual Content Evaluation",$0.20,Mon May 25 14:16:28 PDT 2020,2,BatchId:4052674;OriginalHitTemplateId:928390828;,5400,259200,Tue May 26 14:16:28 PDT 2020,,,3N1FSUEFLAOL00ZC2R1ZA4BZX34D4Q,A31CNXHGR49DJR,Submitted,2020-05-25 17:45:51,2020-05-25 17:48:04,Thu May 28 17:48:04 PDT 2020,,,,133,0% (0/0),0% (0/0),0% (0/0),cnndm1173,unilm_out_v1,"['1136', '1137', '1138', '1139', '1140', '1141', '1142', '1143', '1144', '1145', '1146', '1147', '1148', '1149', '1150', '1151']",Bayern Munich beat Porto 6 - 1 in the Champions League quarter - final . Thomas Muller scored his 27th Champions League goal on Tuesday night . The World Cup winner became the leading German scorer in the competition . The 25 - year - old led the celebrations with fans after the match . Pep Guardiola's side are now in the last four of the competition . Click here for all the latest Bayern Munich News .,Bayern Munich beat Porto.,Bayern Munich won  6 - 1.,Bayern Munich won in Champions League.,Bayern Munich won on Tuesday.,Bayern Munich is managed by Pep Guardiola.,Bayern Munich progressed in the competition.,Bayern Munich reached semi-finals.,Bayern Munich progressed 7 - 4 on aggregate.,Thomas Muller scored 27th Champions League goal.,Thomas Muller passed Mario Gomez in goals.,Thomas Muller is now the leading German scorer in the competition.,After the game Thomas Muller led the celebrations.,Thomas Muller led the celebrations using a megaphone.,BLANK,BLANK,BLANK,n,p,p,n,n,n,n,p,p,p,p,p,p,n,n,p,{},,
336,3RZS0FBRXOYUYHIN9DTB4C8Q4DVPCG,30M3L2ZU933JG596K1H7GJ2KLU36YQ,Are the facts in a text?,Answer whether 16 facts are contained in a given 70-word text.,"Reading Comprehension, Question Answering, Textual Content Evaluation",$0.20,Mon May 25 14:16:28 PDT 2020,2,BatchId:4052674;OriginalHitTemplateId:928390828;,5400,259200,Tue May 26 14:16:28 PDT 2020,,,34V1S5K3GXPNCXQ99ZPCL6CN29196W,AD1FDB9A61LMS,Submitted,2020-05-25 18:14:42,2020-05-25 18:45:47,Thu May 28 18:45:47 PDT 2020,,,,1865,100% (97/97),100% (97/97),100% (97/97),cnndm6774,unilm_out_v1,"['736', '737', '738', '739', '740', '741', '742', '743', '744', '745', '746', '747', '748', '749', '750', '751']","Mustafa Kamal resigned as ICC President on Wednesday . He accused India of influencing the outcome of the Cricket World Cup quarter - final against Bangladesh . Kamal , a Bangladeshi , also criticised the umpires and questioned their partiality over a disputed no - ball against India's Rohit Sharma . The ICC asked him to either withdraw his statement or apologise for his outburst , otherwise he would be denied the duty .",Kamal criticised decision.,Decision was to award no - ball against Rohit Sharma.,Decision was controversial.,Decision was Umpires' decision.,Decision was in World Cup match.,India and Bangladesh played World Cup match.,An allegation was made that India had used its influence in the ICC.,Bangladeshi president made an allegation.,Governing Body asked Bangladeshi president to withdraw his statement or apologise.,Kamal confirmed his intention.,Kamal's intention was to step down.,Governing Body made request to Bangladeshi president.,BLANK,BLANK,BLANK,BLANK,n,n,p,n,n,n,n,p,p,n,p,p,p,p,p,p,{},,
337,3RZS0FBRXOYUYHIN9DTB4C8Q4DVPCG,30M3L2ZU933JG596K1H7GJ2KLU36YQ,Are the facts in a text?,Answer whether 16 facts are contained in a given 70-word text.,"Reading Comprehension, Question Answering, Textual Content Evaluation",$0.20,Mon May 25 14:16:28 PDT 2020,2,BatchId:4052674;OriginalHitTemplateId:928390828;,5400,259200,Tue May 26 14:16:28 PDT 2020,,,3S06PH7KSWS4812TF9IXC64WLJVD1E,AE3ZQZ2Z81Z11,Submitted,2020-05-25 17:51:35,2020-05-25 17:52:34,Thu May 28 17:52:34 PDT 2020,,,,59,0% (0/0),0% (0/0),0% (0/0),cnndm6774,unilm_out_v1,"['736', '737', '738', '739', '740', '741', '742', '743', '744', '745', '746', '747', '748', '749', '750', '751']","Mustafa Kamal resigned as ICC President on Wednesday . He accused India of influencing the outcome of the Cricket World Cup quarter - final against Bangladesh . Kamal , a Bangladeshi , also criticised the umpires and questioned their partiality over a disputed no - ball against India's Rohit Sharma . The ICC asked him to either withdraw his statement or apologise for his outburst , otherwise he would be denied the duty .",Kamal criticised decision.,Decision was to award no - ball against Rohit Sharma.,Decision was controversial.,Decision was Umpires' decision.,Decision was in World Cup match.,India and Bangladesh played World Cup match.,An allegation was made that India had used its influence in the ICC.,Bangladeshi president made an allegation.,Governing Body asked Bangladeshi president to withdraw his statement or apologise.,Kamal confirmed his intention.,Kamal's intention was to step down.,Governing Body made request to Bangladeshi president.,BLANK,BLANK,BLANK,BLANK,n,n,p,n,n,n,n,p,p,p,p,p,p,p,p,p,{},,
338,3S1L4CQSG1TUEPWVBW1FMN4Y24NAFW,30M3L2ZU933JG596K1H7GJ2KLU36YQ,Are the facts in a text?,Answer whether 16 facts are contained in a given 70-word text.,"Reading Comprehension, Question Answering, Textual Content Evaluation",$0.20,Mon May 25 14:16:30 PDT 2020,2,BatchId:4052674;OriginalHitTemplateId:928390828;,5400,259200,Tue May 26 14:16:30 PDT 2020,,,3NG53N1RL07V8YP4J3I7RA8TD808P3,A104V8NZIQFN2F,Submitted,2020-05-25 17:29:38,2020-05-25 17:30:49,Thu May 28 17:30:49 PDT 2020,,,,71,0% (0/0),0% (0/0),0% (0/0),cnndm10680,unilm_out_v1,"['832', '833', '834', '835', '836', '837', '838', '839', '840', '841', '842', '843', '844', '845', '846', '847']","Shiraz Nawaz , 36 , was walking to his local takeaway when he heard buzzing from the ground just a few feet behind him . As he turned around he noticed the charred ground and watched on as thick black smoke began billowing from the manhole in Shirley , Solihull . The father - of - two was able to grab his phone in time to film the terrifying incident . Firefighters said the .",Flames shot out the manhole .,Shiraz Nawaz felt lucky to be alive.,Fire erupted moments after Shiraz Nawaz walked over the manhole.,The manhole was in a busy street .,No - one was hurt in the incident.,Nawaz evacuated the area.,No-one was hurt after Nawaz evacuated the area .,Shiraz Nawaz walked over the manhole.,It is incredible that no - one was hurt.,BLANK,BLANK,BLANK,BLANK,BLANK,BLANK,BLANK,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,{},,
341,3S37Y8CWJCOHNM29SK1OD84Y5XH4WD,30M3L2ZU933JG596K1H7GJ2KLU36YQ,Are the facts in a text?,Answer whether 16 facts are contained in a given 70-word text.,"Reading Comprehension, Question Answering, Textual Content Evaluation",$0.20,Mon May 25 14:16:30 PDT 2020,2,BatchId:4052674;OriginalHitTemplateId:928390828;,5400,259200,Tue May 26 14:16:30 PDT 2020,,,3P1L2B7AD6D825XMYSEW7FP9N3YLOG,A1K35CNHGJEI9Q,Submitted,2020-05-25 17:10:23,2020-05-25 17:13:07,Thu May 28 17:13:07 PDT 2020,,,,164,100% (11/11),100% (11/11),100% (11/11),cnndm2748,unilm_out_v1,"['1040', '1041', '1042', '1043', '1044', '1045', '1046', '1047', '1048', '1049', '1050', '1051', '1052', '1053', '1054', '1055']","Paula Dunican , 49 , spent # 25 on the coat at her local branch in Canterbury , Kent . But when she tried on , she noticed a dark stain ` seeping through ' . Inside , a four inch - long gecko was flattened , its scales imprinted onto the fabric . Asda apologised and offered her a refund and # 40 voucher .",Paula Dunican paid 25.,Paula Dunican paid for the Baby Blue Coat,Paula Dunican paid at her local branch of Asda.,Paula Dunican noticed a ' seeping ' stain.,Paula Dunican noticed stain on the back of coat.,Paula Dunican noticed stain when she took the coat home.,Paula Dunican discovered the reptile ' s crushed body.,Paula Dunican discovered the reptile body on the garment 's lining.,Paula Dunican discovered the body after noticing the stain.,The supermarket apologised.,The supermarket offered Paula Dunican a 40 voucher.,The supermarket offered Paula Dunican a refund.,BLANK,BLANK,BLANK,BLANK,n,p,p,n,n,n,n,p,p,p,p,p,p,p,p,n,{},,
342,3S8APUMBK17ZXZ1NHA1BHYO4KM8FBW,30M3L2ZU933JG596K1H7GJ2KLU36YQ,Are the facts in a text?,Answer whether 16 facts are contained in a given 70-word text.,"Reading Comprehension, Question Answering, Textual Content Evaluation",$0.20,Mon May 25 14:16:26 PDT 2020,2,BatchId:4052674;OriginalHitTemplateId:928390828;,5400,259200,Tue May 26 14:16:26 PDT 2020,,,34Q075JO121A9H1Z3XU2XZKDRUG012,A27A3Z6J7745DI,Submitted,2020-05-25 17:22:20,2020-05-25 17:26:06,Thu May 28 17:26:06 PDT 2020,,,,226,0% (0/0),0% (0/0),0% (0/0),cnndm11355,unilm_out_v1,"['944', '945', '946', '947', '948', '949', '950', '951', '952', '953', '954', '955', '956', '957', '958', '959']","A 12 - year - old Israeli Girl is missing after a tour boat she was on exploded and caught fire off Thailand's southwestern coast on its way to Phuket . The Ao Nang Princess 5 Ferry was carrying more than 100 people , including many foreign tourists , when the incident happened at around 3.30 pm local time . Passengers were throwing themselves into the Andaman Sea after the engine exploded and .",The ferry is Ao Nang Princess 5 Ferry.,Ferry was in Andaman Sea.,Ferry was on its way from resort of Krabi.,Ferry was travelling to Phuket.,Ferry was five miles from the coast.,Ferry's engine exploded.,Ferry is a 35-metre-long boat.,Ferry caught fire around 3.30 pm.,Ferry sank around 6 pm.,Passengers were seen throwing themselves overboard.,Passengers were rescued.,"No injuries reported, but a girl is missing.",Search will continue into tomorrow for missing girl.,BLANK,BLANK,BLANK,p,n,n,n,n,n,n,p,p,n,p,n,p,n,p,n,12. text doesn't mention whether there are injuries or not,,
343,3S8APUMBK17ZXZ1NHA1BHYO4KM8FBW,30M3L2ZU933JG596K1H7GJ2KLU36YQ,Are the facts in a text?,Answer whether 16 facts are contained in a given 70-word text.,"Reading Comprehension, Question Answering, Textual Content Evaluation",$0.20,Mon May 25 14:16:26 PDT 2020,2,BatchId:4052674;OriginalHitTemplateId:928390828;,5400,259200,Tue May 26 14:16:26 PDT 2020,,,3UWN2HHPU3TDOXS0HMBK4C3ZPN0NSG,AE861G0AY5RGT,Submitted,2020-05-25 17:05:15,2020-05-25 17:09:21,Thu May 28 17:09:21 PDT 2020,,,,246,100% (1/1),100% (1/1),100% (1/1),cnndm11355,unilm_out_v1,"['944', '945', '946', '947', '948', '949', '950', '951', '952', '953', '954', '955', '956', '957', '958', '959']","A 12 - year - old Israeli Girl is missing after a tour boat she was on exploded and caught fire off Thailand's southwestern coast on its way to Phuket . The Ao Nang Princess 5 Ferry was carrying more than 100 people , including many foreign tourists , when the incident happened at around 3.30 pm local time . Passengers were throwing themselves into the Andaman Sea after the engine exploded and .",The ferry is Ao Nang Princess 5 Ferry.,Ferry was in Andaman Sea.,Ferry was on its way from resort of Krabi.,Ferry was travelling to Phuket.,Ferry was five miles from the coast.,Ferry's engine exploded.,Ferry is a 35-metre-long boat.,Ferry caught fire around 3.30 pm.,Ferry sank around 6 pm.,Passengers were seen throwing themselves overboard.,Passengers were rescued.,"No injuries reported, but a girl is missing.",Search will continue into tomorrow for missing girl.,BLANK,BLANK,BLANK,p,n,n,n,n,n,n,p,p,n,p,n,p,n,p,n,{},,
344,3SBX2M1TLHBC3P6NGB2ILJMCHW04Q9,30M3L2ZU933JG596K1H7GJ2KLU36YQ,Are the facts in a text?,Answer whether 16 facts are contained in a given 70-word text.,"Reading Comprehension, Question Answering, Textual Content Evaluation",$0.20,Mon May 25 14:16:27 PDT 2020,2,BatchId:4052674;OriginalHitTemplateId:928390828;,5400,259200,Tue May 26 14:16:27 PDT 2020,,,30LSNF239ZJS5X0BQRJM8MUE5U82ID,AD1FDB9A61LMS,Submitted,2020-05-25 17:07:38,2020-05-25 17:48:04,Thu May 28 17:48:04 PDT 2020,,,,2426,100% (97/97),100% (97/97),100% (97/97),cnndm9555,unilm_out_v1,"['1280', '1281', '1282', '1283', '1284', '1285', '1286', '1287', '1288', '1289', '1290', '1291', '1292', '1293', '1294', '1295']","Manchester City's James Milner could leave as a free agent . Swansea's Gerhard Tremmel , 36 , is the understudy for Lukasz Fabianski . England's first - choice right - back at the World Cup looks set to leave Liverpool . Ron Vlaar could leave Aston Villa . Luke Garbutt is yet to put pen to paper on a New Deal at Everton . Danny Welbeck has been linked with A.",Gerhard Tremmel plays for Swansea,Gerhard Tremmel was in goal,Gerhard Tremmel played for free agents' 4 -4-2,Glen Johnson was at the back,Kolo Toure was at the back,Ron Vlaar was at the back,Luke Garbutt was at the back,James Milner was in midfield,Mikel Arteta was in the midfield,Tom Cleverly was in the midfield,Jonas Gutierrez was in the midfield,Danny Ings plays for Burnley,Danny Ings was up front,James Wilson plays for Manchester United,James Wilson was up front,BLANK,n,n,n,n,p,n,n,p,n,n,n,n,n,n,n,n,{},,
345,3SBX2M1TLHBC3P6NGB2ILJMCHW04Q9,30M3L2ZU933JG596K1H7GJ2KLU36YQ,Are the facts in a text?,Answer whether 16 facts are contained in a given 70-word text.,"Reading Comprehension, Question Answering, Textual Content Evaluation",$0.20,Mon May 25 14:16:27 PDT 2020,2,BatchId:4052674;OriginalHitTemplateId:928390828;,5400,259200,Tue May 26 14:16:27 PDT 2020,,,3QEMNNSB22NIJNHV4PZ6DGV9O5R7D1,A3HII8DX9SINOU,Submitted,2020-05-25 17:30:50,2020-05-25 18:48:10,Thu May 28 18:48:10 PDT 2020,,,,4640,100% (43/43),100% (43/43),100% (43/43),cnndm9555,unilm_out_v1,"['1280', '1281', '1282', '1283', '1284', '1285', '1286', '1287', '1288', '1289', '1290', '1291', '1292', '1293', '1294', '1295']","Manchester City's James Milner could leave as a free agent . Swansea's Gerhard Tremmel , 36 , is the understudy for Lukasz Fabianski . England's first - choice right - back at the World Cup looks set to leave Liverpool . Ron Vlaar could leave Aston Villa . Luke Garbutt is yet to put pen to paper on a New Deal at Everton . Danny Welbeck has been linked with A.",Gerhard Tremmel plays for Swansea,Gerhard Tremmel was in goal,Gerhard Tremmel played for free agents' 4 -4-2,Glen Johnson was at the back,Kolo Toure was at the back,Ron Vlaar was at the back,Luke Garbutt was at the back,James Milner was in midfield,Mikel Arteta was in the midfield,Tom Cleverly was in the midfield,Jonas Gutierrez was in the midfield,Danny Ings plays for Burnley,Danny Ings was up front,James Wilson plays for Manchester United,James Wilson was up front,BLANK,n,n,n,n,n,n,n,p,n,n,n,n,n,n,n,n,{},,
346,3SNR5F7RA6HHETFXS99ML37H3BDIEQ,30M3L2ZU933JG596K1H7GJ2KLU36YQ,Are the facts in a text?,Answer whether 16 facts are contained in a given 70-word text.,"Reading Comprehension, Question Answering, Textual Content Evaluation",$0.20,Mon May 25 14:16:27 PDT 2020,2,BatchId:4052674;OriginalHitTemplateId:928390828;,5400,259200,Tue May 26 14:16:27 PDT 2020,,,3LOTDFNYACNU7MWS3328TWXBT9GFWM,A3OLRWACCCCUTU,Submitted,2020-05-25 17:31:24,2020-05-25 18:13:45,Thu May 28 18:13:45 PDT 2020,,,,2541,100% (1/1),100% (1/1),100% (1/1),cnndm6329,unilm_out_v1,"['1536', '1537', '1538', '1539', '1540', '1541', '1542', '1543', '1544', '1545', '1546', '1547', '1548', '1549', '1550', '1551']","Wheelchair - bound Christopher Starrs , 50 , admitted part in two - and - a-half year con . He and fellow BT Openreach Manager Phillip Tamplin invented cars , overtime hours and damage to home owners ` property during broadband installation . They paid off engineers to help them make the fake claims . But Recorder Stuart Trimmer QC spared Starrs Jail as an ` Act of Mercy ' . But he ordered him to repay .",Christopher Starrs was spared jail,Christopher Starrs was spared in an ` Act of Mercy '.,Christopher Starrs was spared by a Judge.,Christopher Starrs was spared in January.,Senior judge has now said his colleague took his eye off the ball,The senior judge is Nicholas Cooke QC,The senior judge said starrs should have been jailed,Christopher Starrs is wheelchair bound,The senior judge thinks Christopher Starrs should thank his lucky stars.,Christopher Starrs sentence was allowed to stand,BLANK,BLANK,BLANK,BLANK,BLANK,BLANK,n,n,n,n,n,n,n,p,p,p,n,n,n,n,p,n,{},,
347,3SNR5F7RA6HHETFXS99ML37H3BDIEQ,30M3L2ZU933JG596K1H7GJ2KLU36YQ,Are the facts in a text?,Answer whether 16 facts are contained in a given 70-word text.,"Reading Comprehension, Question Answering, Textual Content Evaluation",$0.20,Mon May 25 14:16:27 PDT 2020,2,BatchId:4052674;OriginalHitTemplateId:928390828;,5400,259200,Tue May 26 14:16:27 PDT 2020,,,3ZAZR5XV066RY5HNNOWEKU6QDYVZCO,A1IIDR9HLUB1MR,Submitted,2020-05-25 17:50:20,2020-05-25 17:53:16,Thu May 28 17:53:16 PDT 2020,,,,176,0% (0/0),0% (0/0),0% (0/0),cnndm6329,unilm_out_v1,"['1536', '1537', '1538', '1539', '1540', '1541', '1542', '1543', '1544', '1545', '1546', '1547', '1548', '1549', '1550', '1551']","Wheelchair - bound Christopher Starrs , 50 , admitted part in two - and - a-half year con . He and fellow BT Openreach Manager Phillip Tamplin invented cars , overtime hours and damage to home owners ` property during broadband installation . They paid off engineers to help them make the fake claims . But Recorder Stuart Trimmer QC spared Starrs Jail as an ` Act of Mercy ' . But he ordered him to repay .",Christopher Starrs was spared jail,Christopher Starrs was spared in an ` Act of Mercy '.,Christopher Starrs was spared by a Judge.,Christopher Starrs was spared in January.,Senior judge has now said his colleague took his eye off the ball,The senior judge is Nicholas Cooke QC,The senior judge said starrs should have been jailed,Christopher Starrs is wheelchair bound,The senior judge thinks Christopher Starrs should thank his lucky stars.,Christopher Starrs sentence was allowed to stand,BLANK,BLANK,BLANK,BLANK,BLANK,BLANK,n,n,n,n,n,n,n,p,p,n,n,n,n,n,p,n,{},,
348,3T6EIBTMAPCZIYFN0GFN8MT75OAAAJ,30M3L2ZU933JG596K1H7GJ2KLU36YQ,Are the facts in a text?,Answer whether 16 facts are contained in a given 70-word text.,"Reading Comprehension, Question Answering, Textual Content Evaluation",$0.20,Mon May 25 14:16:28 PDT 2020,2,BatchId:4052674;OriginalHitTemplateId:928390828;,5400,259200,Tue May 26 14:16:28 PDT 2020,,,3AAJC4I4FLGE6JNTXGD07YJL3HTZJP,AXID3RPK6NZT6,Submitted,2020-05-25 16:56:27,2020-05-25 16:57:55,Thu May 28 16:57:55 PDT 2020,,,,88,100% (46/46),100% (46/46),100% (46/46),cnndm5420,unilm_out_v1,"['336', '337', '338', '339', '340', '341', '342', '343', '344', '345', '346', '347', '348', '349', '350', '351']","Dayna Dobias , 19 , was born with cerebral palsy . She hopes to change the way people with disabilities are represented by the television , film and the fashion industry .",Dayna Dobias is 19 years old.,Dayna Dobias has created a video.,"In Dayna Dobias's video, she dances.",Dayna Dobias has a disability.,Dayna Dobias's disability makes it difficult for her to walk.,Dayna Dobias loves TV.,Dayna Dobias loves film.,Dayna Dobias loves fashion.,Dayna Dobias is not happy with how people with disabilities are represented.,Dayna Dobias has created several videos.,Dayna Dobias's videos aim at changing stereotypes.,Dayna Dobias has created several videos during the past year.,BLANK,BLANK,BLANK,BLANK,n,n,n,n,n,n,n,p,n,n,p,n,n,n,n,p,{},,
349,3T6EIBTMAPCZIYFN0GFN8MT75OAAAJ,30M3L2ZU933JG596K1H7GJ2KLU36YQ,Are the facts in a text?,Answer whether 16 facts are contained in a given 70-word text.,"Reading Comprehension, Question Answering, Textual Content Evaluation",$0.20,Mon May 25 14:16:28 PDT 2020,2,BatchId:4052674;OriginalHitTemplateId:928390828;,5400,259200,Tue May 26 14:16:28 PDT 2020,,,3IX2EGZR7G754S12NZJNLVHMU1HRJX,A2PJBSDDN22XIX,Submitted,2020-05-25 17:29:31,2020-05-25 17:30:27,Thu May 28 17:30:27 PDT 2020,,,,56,0% (0/0),0% (0/0),0% (0/0),cnndm5420,unilm_out_v1,"['336', '337', '338', '339', '340', '341', '342', '343', '344', '345', '346', '347', '348', '349', '350', '351']","Dayna Dobias , 19 , was born with cerebral palsy . She hopes to change the way people with disabilities are represented by the television , film and the fashion industry .",Dayna Dobias is 19 years old.,Dayna Dobias has created a video.,"In Dayna Dobias's video, she dances.",Dayna Dobias has a disability.,Dayna Dobias's disability makes it difficult for her to walk.,Dayna Dobias loves TV.,Dayna Dobias loves film.,Dayna Dobias loves fashion.,Dayna Dobias is not happy with how people with disabilities are represented.,Dayna Dobias has created several videos.,Dayna Dobias's videos aim at changing stereotypes.,Dayna Dobias has created several videos during the past year.,BLANK,BLANK,BLANK,BLANK,n,n,n,n,n,n,n,p,n,n,p,n,n,n,n,p,{},,
350,3T6SSHJU0JYTUYHJOSZD6I59V4KIIZ,30M3L2ZU933JG596K1H7GJ2KLU36YQ,Are the facts in a text?,Answer whether 16 facts are contained in a given 70-word text.,"Reading Comprehension, Question Answering, Textual Content Evaluation",$0.20,Mon May 25 14:16:28 PDT 2020,2,BatchId:4052674;OriginalHitTemplateId:928390828;,5400,259200,Tue May 26 14:16:28 PDT 2020,,,3JC6VJ2SAG75YC00WMT7PV97CWU5AD,AD1FDB9A61LMS,Submitted,2020-05-25 17:09:17,2020-05-25 18:00:59,Thu May 28 18:00:59 PDT 2020,,,,3102,100% (97/97),100% (97/97),100% (97/97),cnndm3583,unilm_out_v1,"['1264', '1265', '1266', '1267', '1268', '1269', '1270', '1271', '1272', '1273', '1274', '1275', '1276', '1277', '1278', '1279']",Matt Prior's One Pro Cycling Team has been confirmed in the list of entrants for the inaugural Tour de Yorkshire . The former England cricketer will lead his own team in the race for the first time . The team will compete against the likes of Team Sky and Sir Bradley Wiggins . Prior was mocked by Kevin Pietersen last summer for taking his bike with him on A.,One Pro Cycling preparing to take on Team Sky,One Pro Cycling preparing to take on Sir Bradley Wiggins.,Tour de Yorkshire runs over three stages.,Tour de Yorkshire starts in Bridlington.,Tour de Yorkshire starts on May 1.,Tour de Yorkshire is inspired by Tour de France Grand.,Prior's team departs for Tour de Yorkshire.,BLANK,BLANK,BLANK,BLANK,BLANK,BLANK,BLANK,BLANK,BLANK,n,n,n,n,n,n,n,p,p,n,n,n,n,n,n,n,{},,
351,3T6SSHJU0JYTUYHJOSZD6I59V4KIIZ,30M3L2ZU933JG596K1H7GJ2KLU36YQ,Are the facts in a text?,Answer whether 16 facts are contained in a given 70-word text.,"Reading Comprehension, Question Answering, Textual Content Evaluation",$0.20,Mon May 25 14:16:28 PDT 2020,2,BatchId:4052674;OriginalHitTemplateId:928390828;,5400,259200,Tue May 26 14:16:28 PDT 2020,,,3RYC5T2D78H1Q340ICO7IR3Y30PRPZ,A12ATVBE1I4567,Submitted,2020-05-25 17:38:24,2020-05-25 17:57:35,Thu May 28 17:57:35 PDT 2020,,,,1151,0% (0/0),0% (0/0),0% (0/0),cnndm3583,unilm_out_v1,"['1264', '1265', '1266', '1267', '1268', '1269', '1270', '1271', '1272', '1273', '1274', '1275', '1276', '1277', '1278', '1279']",Matt Prior's One Pro Cycling Team has been confirmed in the list of entrants for the inaugural Tour de Yorkshire . The former England cricketer will lead his own team in the race for the first time . The team will compete against the likes of Team Sky and Sir Bradley Wiggins . Prior was mocked by Kevin Pietersen last summer for taking his bike with him on A.,One Pro Cycling preparing to take on Team Sky,One Pro Cycling preparing to take on Sir Bradley Wiggins.,Tour de Yorkshire runs over three stages.,Tour de Yorkshire starts in Bridlington.,Tour de Yorkshire starts on May 1.,Tour de Yorkshire is inspired by Tour de France Grand.,Prior's team departs for Tour de Yorkshire.,BLANK,BLANK,BLANK,BLANK,BLANK,BLANK,BLANK,BLANK,BLANK,n,n,n,n,n,n,n,p,p,n,n,n,n,n,n,n,{},,
352,3TD33TP5EPQ418KF6UFJ3XDDN6VABE,30M3L2ZU933JG596K1H7GJ2KLU36YQ,Are the facts in a text?,Answer whether 16 facts are contained in a given 70-word text.,"Reading Comprehension, Question Answering, Textual Content Evaluation",$0.20,Mon May 25 14:16:28 PDT 2020,2,BatchId:4052674;OriginalHitTemplateId:928390828;,5400,259200,Tue May 26 14:16:28 PDT 2020,,,37WLF8U1WUE7TT90DWG1BFQ3D356KF,A1VW9W0DWXCPYE,Submitted,2020-05-25 17:33:58,2020-05-25 17:35:50,Thu May 28 17:35:50 PDT 2020,,,,112,0% (0/0),0% (0/0),0% (0/0),cnndm1521,unilm_out_v1,"['320', '321', '322', '323', '324', '325', '326', '327', '328', '329', '330', '331', '332', '333', '334', '335']","Carrie Reichert , 43 , has released a teaser from her upcoming book in the Eye of the Royal Story . says she felt ` overdressed ' when she saw him playing strip billiards . Claims she was one of 10 women picked to party with Prince Harry in 2012 . says alcohol gave her the confidence to approach him before they kissed . In January , she said she .",Dominatrix claims she shared a kiss.,The kiss was hot.,The kiss was deep.,Dominatrix claimed she kissed Prince Harry.,Dominatrix claimed she kissed in Vegas.,Carrie Reichert was a dominatrix.,Carri Reichert / dominatrix said she felt overdressed.,Carri Reichert / dominatrix said she saw Prince Harry's a**.,Carri Reichert was 43 years old.,Carri Reichert / the 43 year old claimed in her book.,The book was upcoming.,Kensington Palace denied Carrie Reichart was invited.,Kensington Palace denied Carrie Reichart was invited to the hotel suite.,BLANK,BLANK,BLANK,p,p,p,n,n,n,n,n,n,n,n,n,n,n,n,p,{},,
353,3TD33TP5EPQ418KF6UFJ3XDDN6VABE,30M3L2ZU933JG596K1H7GJ2KLU36YQ,Are the facts in a text?,Answer whether 16 facts are contained in a given 70-word text.,"Reading Comprehension, Question Answering, Textual Content Evaluation",$0.20,Mon May 25 14:16:28 PDT 2020,2,BatchId:4052674;OriginalHitTemplateId:928390828;,5400,259200,Tue May 26 14:16:28 PDT 2020,,,3YJ6NA41JG4KSFLNA7FYG0H7TJRJPV,A3HII8DX9SINOU,Submitted,2020-05-25 17:16:58,2020-05-25 17:18:42,Thu May 28 17:18:42 PDT 2020,,,,104,100% (43/43),100% (43/43),100% (43/43),cnndm1521,unilm_out_v1,"['320', '321', '322', '323', '324', '325', '326', '327', '328', '329', '330', '331', '332', '333', '334', '335']","Carrie Reichert , 43 , has released a teaser from her upcoming book in the Eye of the Royal Story . says she felt ` overdressed ' when she saw him playing strip billiards . Claims she was one of 10 women picked to party with Prince Harry in 2012 . says alcohol gave her the confidence to approach him before they kissed . In January , she said she .",Dominatrix claims she shared a kiss.,The kiss was hot.,The kiss was deep.,Dominatrix claimed she kissed Prince Harry.,Dominatrix claimed she kissed in Vegas.,Carrie Reichert was a dominatrix.,Carri Reichert / dominatrix said she felt overdressed.,Carri Reichert / dominatrix said she saw Prince Harry's a**.,Carri Reichert was 43 years old.,Carri Reichert / the 43 year old claimed in her book.,The book was upcoming.,Kensington Palace denied Carrie Reichart was invited.,Kensington Palace denied Carrie Reichart was invited to the hotel suite.,BLANK,BLANK,BLANK,p,p,n,n,n,n,n,n,n,n,n,n,n,p,n,p,{},,
